month,desc_segm,count(num_doc),sum(sld_cap_final)
1,CORPORATIVA,231779,5.89238554734e+13
1,CONSTRUCTOR EMPRESARIAL,13282,5.35711000469e+12
1,EMPRESARIAL,101464,2.49467260653e+13
1,CONSTRUCTOR PYME,15661,3.60561449178e+12
1,FINANCIERA,1077,3.06410361102e+12
1,PYMES,1575636,7.43977482378e+13
1,PREFERENCIAL,1449041,4.21212555364e+13
1,PERSONAL,21787433,8.06031535317e+13
1,SIN SEGMENTO,55,3.45619781863e+11
1,MICROPYME,3242729,3.172420222e+13
1,INTERNACIONAL,83,4.09641093555e+12
1,GOBIERNO,179,1.67187379439e+12
1,PERSONAL PLUS,4495131,5.5783591342e+13
1,GOBIERNO DE RED,4895,2.33297001762e+12
1,CONSTRUCTOR CORPORATIVO,18685,1.80274128284e+13
2,FINANCIERA,1340,1.68809380017e+12
2,CONSTRUCTOR EMPRESARIAL,12971,4.81605148849e+12
2,PERSONAL,19921187,7.47848684426e+13
2,PREFERENCIAL,1253274,3.85345524016e+13
2,GOBIERNO,99,4.48560112986e+11
2,SIN SEGMENTO,26,22149728058.0
2,GOBIERNO DE RED,4393,1.91500934438e+12
2,INTERNACIONAL,87,4.01177476138e+12
2,MICROPYME,2953126,2.93388313599e+13
2,PERSONAL PLUS,4059438,5.16033274546e+13
2,CONSTRUCTOR CORPORATIVO,16588,1.42357840526e+13
2,CONSTRUCTOR PYME,15613,3.26709689028e+12
2,CORPORATIVA,142453,5.20624990134e+13
2,PYMES,1482887,6.28114303684e+13
2,EMPRESARIAL,121545,2.83393098758e+13
3,CORPORATIVA,83786,6.1251299113e+13
3,MICROPYME,3443866,3.39336704992e+13
3,FINANCIERA,13173,4.47734710566e+12
3,PYMES,1707093,7.2694824358e+13
3,GOBIERNO DE RED,4230,1.79585649613e+12
3,CONSTRUCTOR EMPRESARIAL,14731,5.84957664373e+12
3,EMPRESARIAL,134342,3.13206181672e+13
3,SIN SEGMENTO,25,21223760372.0
3,CONSTRUCTOR PYME,17320,3.76765616811e+12
3,PERSONAL,22062559,8.41765987448e+13
3,CONSTRUCTOR CORPORATIVO,18395,1.61444915511e+13
3,PREFERENCIAL,1395548,4.32290921222e+13
3,INTERNACIONAL,79,4.91100035644e+12
3,PERSONAL PLUS,4645691,6.00476503188e+13
3,GOBIERNO,185,1.04770456912e+12
4,GOBIERNO,217,2.30530741346e+12
4,SIN SEGMENTO,16,24298525752.0
4,EMPRESARIAL,150656,4.16829157187e+13
4,FINANCIERA,4044,4.01736612159e+12
4,PERSONAL,14516293,4.98118077567e+13
4,PREFERENCIAL,773899,3.36275665839e+13
4,PERSONAL PLUS,2471447,4.13322204634e+13
4,CONSTRUCTOR CORPORATIVO,18159,2.13216886944e+13
